Variant,desorbtion_per_FW_root,desorbtion_per_DW_root,desorbtion_per_DWCW_root
10 mkM,7.645114317397555,135.8272073504249,277.37202849643796
10 mkM,7.218266913917562,128.24360710948,278.6132696527688
10 mkM,7.479533681660726,132.88541283830605,267.82596881272195
His 0.5 mM,6.63546820257783,117.88929216764028,249.3915202907329
His 0.5 mM,6.766601434186401,120.21907559542976,251.97932665824177
His 0.5 mM,6.375586969303308,113.27210258839033,230.77576447522375
His 1 mM,5.322527541200206,94.56288316340604,216.33499038426646
His 1 mM,5.071518246011598,90.10331720153657,211.99976018226147
His 1 mM,4.466914590821266,79.3616039152509,182.80795534361022
Tr 10 mkM,1.3180175479986573,22.042189707759192,57.87332677165354
Tr 10 mkM,1.1962705617808367,20.006124125297102,56.80817351818753
Tr 10 mkM,1.2166377578396996,20.34673992364233,55.16395869677967
Tr His 1 mM,1.3141616224432102,22.321997360054645,51.61847834036225
Tr His 1 mM,1.0912083279840203,18.534972411722165,59.03826771653544
Tr His 1 mM,1.184480000356997,20.119260058630253,48.32404533248373
Tr Gln 5 mM,1.428906440293738,24.04007685924904,54.565842427591285
Tr Gln 5 mM,1.3014381283857437,21.895536160869252,48.60751854837043
Tr Gln 5 mM,1.298367746950086,21.843879730735697,52.98367365096311
10 mkM,0.9513707157293799,15.527930471382884,36.434722529710314
10 mkM,0.9283313462689043,15.151890173766102,36.98964458172009
10 mkM,1.1316873803289071,18.47099418402461,42.7282716535433
Gln  1 mM,1.2630279078128928,20.614687010729412,49.39341282339706
Gln  1 mM,1.2185159110617776,19.88817821739974,48.0213735783027
Gln  1 mM,1.1155599472990778,18.207768025568512,41.68418461538461
Gln 5 mM,1.049427926756797,17.128384983884995,41.75553698016488
Gln 5 mM,1.0689063327293833,17.446304516865162,40.29528291521698
Gln 5 mM,1.1232021460020805,18.332501242753718,41.598474730718
Pretrit His 0.5 mM,1.344441829065752,21.943495736619017,47.09566327464881
Pretrit His 0.5 mM,1.3009543097578433,21.23370809545915,41.29480776779735
Pretrit His 0.5 mM,1.1997073162372656,19.581191100946903,46.23517195834391
Pretrit His 1 mM,1.2420949778359518,20.27302726036063,56.978014242243624
Pretrit His 1 mM,1.043202882754214,17.02678205575692,50.495538815770765
Pretrit His 1 mM,1.213008065934886,19.798281151236683,46.23517195834391
10 mkM,0.8043576538031203,13.968436529226858,31.73518176369686
10 mkM,0.8761645709746348,15.21543201702669,34.419602687278775
10 mkM,0.8742085960490009,15.181464650057164,33.91139107611548
Pretrit Gln  1 mM,1.019973721435755,17.70593935070075,40.67721005842012
Pretrit Gln  1 mM,0.9746532785825541,16.91921220700912,37.89001651389321
Pretrit Gln  1 mM,0.9139681643883736,15.865766486956629,32.18029269901473
Pretrit Gln 5 mM,1.0491076545336844,18.118628553052506,41.06314960629922
Pretrit Gln 5 mM,1.0525418416990682,18.177938730956892,39.154556511205335
Pretrit Gln 5 mM,0.8262600393572972,14.269935670233677,38.099493611202796
10 mkM,0.9741596085670222,17.307442851983847,36.64223194322932
10 mkM,0.7879105627734752,13.998442265262682,30.426546224869103
10 mkM,0.9082498094132309,16.1364539583692,33.66121352477999
50 mkM,4.370883676953529,77.65546711880285,166.3306446016282
50 mkM,4.146219315453325,73.66395939938305,160.98493842115892
50 mkM,4.615457626823465,82.00069927915129,168.62737612343912
100 mkM,6.274608820780409,111.47807056377168,241.89520754350153
100 mkM,6.173190958707567,109.67622635204329,233.72579551151605
10 mkM,1.2837439577969576,22.807684686119675,NA
10 mkM,0.9928899115803383,17.64021547584593,NA
10 mkM,0.917941585535466,16.308643258659064,NA
50 mkM,4.362770412678716,77.5113225078536,NA
50 mkM,4.10400959682494,72.91403886630563,NA
50 mkM,4.158464193795473,73.88150848504878,NA
100 mkM,6.123968127251287,108.80170708954216,NA
100 mkM,6.187339767444145,109.92760168774642,NA
100 mkM,5.939198582449263,105.51899211211445,NA
Tr 10 mkM,0.8834750073245897,14.43773102813128,28.429047769028873
Tr 10 mkM,0.9959517597535283,16.275823883077315,28.634240266566177
Tr 10 mkM,0.9752308458216917,15.937203119020994,30.55810938726999
Tr His 1 mM,0.5938930051797164,10.08770753098782,24.10434766450654
Tr His 1 mM,0.6537576200674177,11.104551846673276,25.09851809533272
Tr His 1 mM,0.6021573130083264,10.228082850437564,24.025178046774
Tr Gln 5 mM,0.6848998609082652,11.279510163165416,25.004793184970985
Tr Gln 5 mM,0.7300431197317631,12.022967529360226,28.396096397041276
Tr Gln 5 mM,0.8531002972873666,14.049577204894671,31.60127244094488
Tr 10 mkM,1.3495655184524615,22.0545729066657,36.480683914510685
Tr 10 mkM,1.2735959701321664,20.81308005640552,36.35070457691347
Tr 10 mkM,1.1285584100426975,18.44287912917223,31.07432184787643
Tr His 1 mM,0.7252498226775245,12.318899253338968,24.53062623370426
Tr His 1 mM,0.9572582043155493,16.259731487916252,31.361209159199937
Tr His 1 mM,0.7729790970373307,13.129615924875289,25.506016495712515
Tr Gln 5 mM,0.9574257244477287,15.767696572551376,26.5664580783707
Tr Gln 5 mM,0.6770168301864142,11.149685746168531,22.479310681698284
Tr Gln 5 mM,1.0406885465244184,17.138939146002045,33.893480706216074
10 mkM,0.9001347519499491,14.44111667093452,34.67394075740534
10 mkM,0.8862511142475117,14.218377540550373,34.35615748031496
10 mkM,0.7469071832772824,11.982843405057269,28.843526781374557
Gln 1 mM,0.843524784128807,13.532906929812984,31.96387795275592
Gln 1 mM,0.8742678142527349,14.02612606603225,32.975707823756075
Gln 1 mM,0.8707565950053093,13.96979458155233,32.796966737996804
Gln 5 mM,0.8583987333464982,13.77153390821252,34.22800697816965
Gln 5 mM,0.9048996692010814,14.51756158743384,35.246810662428665
Gln 5 mM,0.8473532439090519,13.594327993977794,32.57818288473254
100 mkM,7.645114317397555,135.8272073504249,277.37202849643796
100 mkM,7.218266913917562,128.24360710948,278.6132696527688
100 mkM,7.479533681660726,132.88541283830605,267.82596881272195
100 mkM His 0.5 mM,6.63546820257783,117.88929216764028,249.3915202907329
100 mkM His 0.5 mM,6.766601434186401,120.21907559542976,251.97932665824175
100 mkM His 0.5 mM,6.375586969303308,113.27210258839033,230.77576447522375
100 mkM His 1 mM,5.322527541200206,94.56288316340604,216.3349903842665
100 mkM His 1 mM,5.071518246011598,90.10331720153657,211.99976018226147
100 mkM His 1 mM,4.466914590821266,79.3616039152509,182.80795534361025
10 mkM,0.7072256562939229,12.564950878808387,29.4771653543307
10 mkM,0.7605669781804136,13.51264145443976,30.685492847425483
10 mkM,0.8192913385826771,14.555969983710796,33.985418489355496
His 0.5 mM,0.9275235986869599,16.47888245105423,38.16495931319621
His 0.5 mM,0.8460043380739645,15.03056748091212,34.26317569199556
His 0.5 mM,0.8797778628421103,15.63060606257184,34.37380608489027
His 1 mM,0.6596176682250326,11.71912179130157,27.849281551670447
His 1 mM,0.6494768021672149,11.538953717998384,25.83257355988396
His 1 mM,0.705941374052982,12.542133630694808,27.273773470623865
10 mkM,0.981164245046661,17.43189098605153,40.284944790064515
10 mkM,1.0164976119030338,18.059642560082,41.58787827197277
10 mkM,0.9400326567836523,16.701125096136916,37.371763413294275
Gln 1 mM,1.0340794618717777,18.37201115029054,40.11366579177603
Gln 1 mM,0.8642129292151901,15.35407109142978,34.07730799607496
Gln 1 mM,0.8353650496020163,14.841544167283995,31.404577957167113
Gln 5 mM,1.1005225869126016,19.552475398077267,39.9993973087658
Gln 5 mM,1.1544960231341308,20.511396456509797,45.614535976106446
Gln 5 mM,1.1220077134018225,19.93419169549882,41.72270788132907
