Variant;FW.root;FW.shoot;DW.root;DW.shoot;hydration.root;hydration.shoot;treatment
10 mkM;0,9225;1,7976;0,0614000000000000;0,175400000000000;14,0244299674267;9,24857468643101;10 mkM
10 mkM;1,0718;1,8995;0,0729000000000000;0,193900000000000;13,7023319615912;8,79628674574523;10 mkM
10 mkM;0,9008;1,7426;0,0614000000000000;0,172600000000000;13,6710097719870;9,09617612977984;10 mkM
10 mkM;1,2067;2,0505;0,0738405009250661;0,213236227468152;NA;NA;10 mkM
10 mkM;1,1414;2,1242;0,0698446571275962;0,220900460564667;NA;NA;10 mkM
10 mkM;1,1625;2,1635;0,0711358103301478;0,224987358267421;NA;NA;10 mkM
10 mkM;0,9461;1,8407;0,0578938409921314;0,191418641258536;NA;NA;10 mkM
10 mkM;0,9904;1,7914;0,0606046507965405;0,186291820476200;NA;NA;10 mkM
10 mkM;1,0766;1,9091;0,0658794093775803;0,198531715122872;NA;NA;10 mkM
10 mkM;0,9809;1,9543;0,0672000000000000;0,193300000000000;13,5967261904762;9,11019141231247;10 mkM
10 mkM;1,1829;2,0366;0,0789000000000000;0,206600000000000;13,9923954372624;8,85769603097773;10 mkM
10 mkM;1,0508;1,9523;0,0696000000000000;0,193500000000000;14,0977011494253;9,08940568475452;10 mkM
10 mkM;1,3100;2,4110;0,0797000000000000;0,246300000000000;15,4366373902133;8,78887535525782;10 mkM
10 mkM;1,1852;2,1430;0,0723000000000000;0,224200000000000;15,3928077455048;8,55842997323818;10 mkM
10 mkM;1,3879;2,2593;0,0835000000000000;0,232500000000000;15,6215568862275;8,71741935483871;10 mkM
10 mkM;0,9742;1,8074;0,0599000000000000;0,183000000000000;15,2637729549249;8,87650273224044;10 mkM
10 mkM;1,0637;1,9543;0,0642000000000000;0,196100000000000;15,5685358255452;8,96583375828659;10 mkM
10 mkM;1,0858;1,9961;0,0630000000000000;0,193600000000000;16,2349206349206;9,31043388429752;10 mkM
10 mkM;1,2332;2,2217;0,0820000000000000;0,239100000000000;14,0390243902439;8,29192806357173;10 mkM
10 mkM;1,3262;2,3915;0,0880000000000000;0,259500000000000;14,0704545454545;8,21579961464355;10 mkM
10 mkM;1,0759;2,0369;0,0695000000000000;0,213200000000000;14,4805755395683;8,55393996247655;10 mkM
10 mkM;1,1144;2,1740;0,0630000000000000;0,225800000000000;16,6888888888889;8,62798937112489;10 mkM
10 mkM;1,2178;2,2575;0,0731000000000000;0,225400000000000;15,6593707250342;9,01552795031056;10 mkM
10 mkM;1,2060;2,0762;0,0729000000000000;0,212400000000000;15,5432098765432;8,77495291902072;10 mkM
10 mkM;1,4051;NA;0,0840182613999098;NA;NA;NA;10 mkM
10 mkM;1,5481;NA;0,0925689776337630;NA;NA;NA;10 mkM
10 mkM;1,5144;NA;0,0905538787730577;NA;NA;NA;10 mkM
100 mkM;1,0267;2,0433;0,0711000000000000;0,226600000000000;13,4402250351617;8,01721094439541;100 mkM
100 mkM;0,8631;1,8365;0,0634000000000000;0,200700000000000;12,6135646687697;8,15047334329846;100 mkM
100 mkM;1,0618;2,0981;0,0750000000000000;0,222200000000000;13,1573333333333;8,44239423942394;100 mkM
100 mkM;0,8867;1,8685;0,0586000000000000;0,187300000000000;14,1313993174061;8,97597437266418;100 mkM
100 mkM;0,9063;1,7334;0,0625000000000000;0,171900000000000;13,5008000000000;9,08376963350785;100 mkM
100 mkM;0,8471;1,8364;0,0610000000000000;0,188300000000000;12,8868852459016;8,75252257036644;100 mkM
100 mkM;0,7374;1,5744;0,0546000000000000;0,159600000000000;12,5054945054945;8,86466165413534;100 mkM
100 mkM;0,6732;1,4770;0,0488000000000000;0,146100000000000;12,7950819672131;9,10951403148528;100 mkM
100 mkM;0,7611;1,5002;0,0530000000000000;0,153400000000000;13,3603773584906;8,77966101694915;100 mkM
100 mkM Gln 1 mM;1,1106;1,9953;0,0832000000000000;0,219300000000000;12,3485576923077;8,09849521203830;100 mkM Gln 1 mM
100 mkM Gln 1 mM;1,0696;1,8275;0,0772000000000000;0,197800000000000;12,8549222797927;8,23913043478261;100 mkM Gln 1 mM
100 mkM Gln 1 mM;1,0829;2,0015;0,0805000000000000;0,209300000000000;12,4521739130435;8,56282847587195;100 mkM Gln 1 mM
100 mkM Gln 1 mM;0,9204;1,8065;0,0656000000000000;0,176100000000000;13,0304878048780;9,25837592277115;100 mkM Gln 1 mM
100 mkM Gln 1 mM;1,0515;1,8784;0,0739000000000000;0,184100000000000;13,2286874154263;9,20315046170560;100 mkM Gln 1 mM
100 mkM Gln 1 mM;0,9993;1,8246;0,0711000000000000;0,183900000000000;13,0548523206751;8,92169657422512;100 mkM Gln 1 mM
100 mkM Gln 5 mM;1,2780;2,1305;0,0928000000000000;0,228600000000000;12,7715517241379;8,31977252843395;100 mkM Gln 5 mM
100 mkM Gln 5 mM;1,0741;1,7778;0,0766000000000000;0,189200000000000;13,0221932114883;8,39640591966173;100 mkM Gln 5 mM
100 mkM Gln 5 mM;1,3767;2,3117;0,1015000000000000;0,257900000000000;12,5635467980296;7,96355176424971;100 mkM Gln 5 mM
100 mkM Gln 5 mM;1,0835;1,7878;0,0751000000000000;0,182300000000000;13,4274300932091;8,80691168403730;100 mkM Gln 5 mM
100 mkM Gln 5 mM;1,1139;1,8020;0,0755000000000000;0,179300000000000;13,7536423841060;9,05019520356944;100 mkM Gln 5 mM
100 mkM Gln 5 mM;1,0534;1,8056;0,0767000000000000;0,192300000000000;12,7340286831812;8,38949557982319;100 mkM Gln 5 mM
100 mkM His 0.5 mM;0,9502;1,6139;0,0705000000000000;0,163700000000000;12,4780141843972;8,85888821014050;NA
100 mkM His 0.5 mM;0,9381;1,5868;0,0675000000000000;0,160600000000000;12,8977777777778;8,88044831880448;NA
100 mkM His 0.5 mM;0,8210;1,3215;0,0583000000000000;0,132700000000000;13,0823327615780;8,95855312735493;NA
100 mkM His 1 mM;1,0601;1,9104;0,0745000000000000;0,192600000000000;13,2295302013423;8,91900311526480;100 mkM His 1 mM
100 mkM His 1 mM;1,0446;1,7425;0,0733000000000000;0,175500000000000;13,2510231923602;8,92877492877493;100 mkM His 1 mM
100 mkM His 1 mM;0,8918;1,4797;0,0654000000000000;0,152000000000000;12,6360856269113;8,73486842105263;100 mkM His 1 mM
50 mkM;0,8954;1,9588;0,0641000000000000;0,195000000000000;12,9687987519501;9,04512820512820;50 mkM
50 mkM;0,8625;1,9829;0,0628000000000000;0,200800000000000;12,7340764331210;8,87500000000000;50 mkM
50 mkM;0,9824;1,9217;0,0690000000000000;0,193600000000000;13,2376811594203;8,92613636363636;50 mkM
50 mkM Gln 5 mM;1,1588;1,8353;0,0751000000000000;0,185200000000000;14,4300932090546;8,90982721382289;NA
50 mkM Gln 5 mM;1,3214;2,1625;0,0843000000000000;0,214600000000000;14,6749703440095;9,07688723205965;NA
50 mkM Gln 5 mM;1,4452;2,2201;0,0954000000000000;0,226800000000000;14,1488469601677;8,78880070546737;NA
Control;1,5390;2,0465;0,0905000000000000;0,212800000000000;16,0055248618785;8,61701127819549;Control
Control;1,2315;1,7673;0,0742000000000000;0,188000000000000;15,5970350404313;8,40053191489362;Control
Control;1,4194;1,9512;0,0873000000000000;0,202900000000000;15,2588774341352;8,61655988171513;Control
Control;1,3308;2,0665;0,0808000000000000;0,203400000000000;15,4702970297030;9,15978367748279;Control
Control;1,2292;2,0014;0,0773000000000000;0,189700000000000;14,9016817593790;9,55034264628360;Control
Control;1,2140;1,8552;0,0766000000000000;0,186400000000000;14,8485639686684;8,95278969957081;Control
Control;1,1871;1,7429;0,0744000000000000;0,168500000000000;14,9556451612903;9,34362017804154;Control
Control;1,3121;1,9180;0,0807000000000000;0,183700000000000;15,2589838909542;9,44093630919978;Control
Control;1,2592;1,8807;0,0768000000000000;0,185800000000000;15,3958333333333;9,12217438105490;Control
Control;1,4922;2,2606;0,0910000000000000;0,220600000000000;15,3978021978022;9,24750679963735;Control
Control;1,5013;2,2095;0,0933000000000000;0,219300000000000;15,0911039657020;9,07523939808481;Control
Control;1,4593;2,2956;0,0933000000000000;0,228000000000000;14,6409431939979;9,06842105263158;Control
Control;1,4664;2,2076;0,0787000000000000;0,224000000000000;17,6327827191868;8,85535714285714;Control
Control;1,5470;2,3283;0,0872000000000000;0,244000000000000;16,7408256880734;8,54221311475410;Control
Control;1,6162;2,3830;0,0907000000000000;0,246700000000000;16,8191841234840;8,65950547223348;Control
Control;1,0415;1,5452;0,0584000000000000;0,151400000000000;16,8339041095890;9,20607661822985;Control
Control;1,2405;1,9360;0,0735000000000000;0,197200000000000;15,8775510204082;8,81744421906694;Control
Control;1,0484;1,7463;0,0603000000000000;0,169900000000000;16,3864013266998;9,27839905826957;Control
Control;1,1066;1,7271;0,0670000000000000;0,175400000000000;15,5164179104478;8,84663625997720;Control
Control;1,1644;1,9091;0,0720000000000000;0,196800000000000;15,1722222222222;8,70071138211382;Control
Control;1,2077;1,9044;0,0742000000000000;0,193500000000000;15,2762803234501;8,84186046511628;Control
Control;1,4520;2,2629;0,0817000000000000;0,224200000000000;16,7723378212974;9,09322033898305;Control
Control;1,4768;2,2532;0,0788000000000000;0,225800000000000;17,7411167512690;8,97874224977857;Control
Control;1,6512;2,2524;0,0885000000000000;0,226100000000000;17,6576271186441;8,96196373286157;Control
Gln 1 mM;1,3152;2,0775;0,0844000000000000;0,210200000000000;14,5829383886256;8,88344433872502;Gln 1 mM
Gln 1 mM;1,1788;2,0241;0,0786000000000000;0,202300000000000;13,9974554707379;9,00543746910529;Gln 1 mM
Gln 1 mM;1,3704;2,2727;0,0900000000000000;0,230700000000000;14,2266666666667;8,85132206328565;Gln 1 mM
Gln 1 mM;1,5460;2,3681;0,0922000000000000;0,248600000000000;15,7678958785249;8,52574416733709;Gln 1 mM
Gln 1 mM;1,3058;2,1077;0,0785000000000000;0,214400000000000;15,6343949044586;8,83069029850746;Gln 1 mM
Gln 1 mM;1,4868;2,3602;0,0871000000000000;0,241900000000000;16,0700344431688;8,75692434890450;Gln 1 mM
Gln 1 mM;1,1980;2,1129;0,0808000000000000;0,222700000000000;13,8267326732673;8,48765154916928;Gln 1 mM
Gln 1 mM;1,1641;2,0798;0,0751000000000000;0,219700000000000;14,5006657789614;8,46654528903050;Gln 1 mM
Gln 1 mM;1,2245;2,1029;0,0810000000000000;0,226200000000000;14,1172839506173;8,29664014146773;Gln 1 mM
Gln 5 mM;1,4713;2,1567;0,0893383800162770;0,224745921571484;NA;NA;Gln 5 mM
Gln 5 mM;1,5403;2,2054;0,0935281089778233;0,229820863093500;NA;NA;Gln 5 mM
Gln 5 mM;1,2965;1,9557;0,0787243999803596;0,203800064365629;NA;NA;Gln 5 mM
Gln 5 mM;0,9462;1,6138;0,0574539354118136;0,168171265466713;NA;NA;Gln 5 mM
Gln 5 mM;1,3381;2,0527;0,0812503814992050;0,213908264111738;NA;NA;Gln 5 mM
Gln 5 mM;1,0487;1,6387;0,0636778081445454;0,170766050762364;NA;NA;Gln 5 mM
Gln 5 mM;1,5674;2,2940;0,0999000000000000;0,227300000000000;14,6896896896897;9,09238891333040;Gln 5 mM
Gln 5 mM;1,3250;1,9919;0,0886000000000000;0,197800000000000;13,9548532731377;9,07027300303337;Gln 5 mM
Gln 5 mM;1,3488;2,0293;0,0856000000000000;0,200400000000000;14,7570093457944;9,12624750499002;Gln 5 mM
Gln 5 mM;1,5390;2,4407;0,0933000000000000;0,259300000000000;15,4951768488746;8,41264944080216;Gln 5 mM
Gln 5 mM;1,4701;2,1187;0,0848000000000000;0,217600000000000;16,3360849056604;8,73667279411765;Gln 5 mM
Gln 5 mM;1,5911;2,2072;0,0925000000000000;0,234200000000000;16,2010810810811;8,42442356959863;Gln 5 mM
Gln 5 mM;1,3042;1,9765;0,0837000000000000;0,204700000000000;14,5818399044205;8,65559355153884;Gln 5 mM
Gln 5 mM;1,2759;2,0047;0,0817000000000000;0,208800000000000;14,6168910648715;8,60105363984674;Gln 5 mM
Gln 5 mM;1,1963;1,8772;0,0771000000000000;0,192600000000000;14,5162127107652;8,74662512980270;Gln 5 mM
His 0.5 mM;1,1310;1,9834;0,0651000000000000;0,201500000000000;16,3732718894009;8,84317617866005;His 0.5 mM
His 0.5 mM;1,6332;2,4665;0,0915000000000000;0,257100000000000;16,8491803278689;8,59354336833917;His 0.5 mM
His 0.5 mM;1,4005;2,3732;0,0797000000000000;0,242000000000000;16,5721455457967;8,80661157024793;His 0.5 mM
His 0.5 mM;1,2687;NA;0,0746920996136888;NA;NA;NA;His 0.5 mM
His 0.5 mM;1,5149;NA;0,0891866175650486;NA;NA;NA;His 0.5 mM
His 0.5 mM;1,4116;NA;0,0831050428112896;NA;NA;NA;His 0.5 mM
His 1 mM;1,3759;2,3295;0,0810032788239208;0,242123989657345;NA;NA;His 1 mM
His 1 mM;1,2170;2,0697;0,0716483685796290;0,215120850566133;NA;NA;His 1 mM
His 1 mM;1,3366;2,1608;0,0786895722625573;0,224589618738610;NA;NA;His 1 mM
His 1 mM;1,2278;2,0835;0,0722841963369503;0,216555197446267;NA;NA;His 1 mM
His 1 mM;1,1401;1,8586;0,0671210394557396;0,193179500827277;NA;NA;His 1 mM
His 1 mM;1,1120;1,9483;0,0654667098278944;0,202502755548146;NA;NA;His 1 mM
His 1 mM;1,5097;2,5643;0,0877000000000000;0,261000000000000;16,2143671607754;8,82490421455939;His 1 mM
His 1 mM;1,4727;2,4083;0,0867000000000000;0,246700000000000;15,9861591695502;8,76205918119173;His 1 mM
His 1 mM;1,5701;2,3061;0,0937000000000000;0,248600000000000;15,7566702241195;8,27634754625905;His 1 mM
His 1 mM;1,3060;NA;0,0776266990305253;NA;NA;NA;His 1 mM
His 1 mM;1,4230;NA;0,0845810051458174;NA;NA;NA;His 1 mM
His 1 mM;1,4446;NA;0,0858648770440252;NA;NA;NA;His 1 mM
